project_code,project_name,category,spatial_scope,atoll,island,join_key,total_mvr,active_months,first_month,last_month,parsed_locations,parsed_location_count,location_status,spatial_scope_clean,review_note
P-ACT004-003,Rehabilitation of Coconut Industry In the Maldives,Environmental management,multi_location,R; M,ehabilitation of; aldives,R.ehabilitation of; M.aldives,572387.37,8,2021-11-01,2022-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-DRG004-001,Estb.of a Drainage Systm -Maradoofeydhoo,Drainage and stormwater,multi_location,S; M,ystm; aradoofeydhoo,S.ystm; M.aradoofeydhoo,134168.19,2,2020-05-01,2020-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-ENV006-001,South Ari Marine Park Management Project,Environmental management,multi_location,S; M; M,outh Ari; arine Park; anagement,S.outh Ari; M.arine Park; M.anagement,549957.93,11,2025-02-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-HTE122-002,Storm Water Development and Maintenance (Male') Phase 4,Drainage and stormwater,multi_location,S; M; M; K,torm; aintenance; ale'; Male,S.torm; M.aintenance; M.ale'; K.Male,827701.0,4,2019-08-01,2019-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE001-110,Estab. Water System (4 Islands) & Water Storage (25 Islands),Water supply,multi_location,S; S,ystem; torage,S.ystem; S.torage,8067784.75,12,2019-06-01,2022-06-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE001-111,Small Scale Waste to Energy Project,Waste management,single_island,S,mall Scale,S.mall Scale,34334338.99,65,2019-05-01,2024-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE001-112,Greater Male Environmental Improvement & Waste Management,Waste management,multi_location,M; M; K,ale Environmental; anagement; Male,M.ale Environmental; M.anagement; K.Male,96156996.92,59,2019-05-01,2025-05-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE001-114,Maldives Clean Environment Project,Waste management,multi_location,M,aldives Clean,M.aldives Clean,36254801.33,26,2019-06-01,2024-04-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE002-018,Waste Mngmt Project in Zone 1 islands (OFID Ph2 - Waste LC),Waste management,multi_location,M,ngmt,M.ngmt,201582.0,6,2019-05-01,2024-03-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE002-019,Provision of Waste Managing Equipment's to Zone 1 islands,Waste management,multi_location,M,anaging Equipment's,M.anaging Equipment's,63886.0,3,2019-07-01,2019-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE015-006,Estab. Community Water Storage System,Water supply,single_island,S,torage,S.torage,1555942.3,6,2019-07-01,2020-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE054-001,Provision Of Water During Warm Season,Water supply,single_island,S,eason,S.eason,1457689.37,7,2019-05-01,2020-08-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE061-100,Climate change adaptation project,Other / multi-sector,national_or_unmatched,,,,467946.81,1,2020-12-01,2020-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE062-001,Preparing Outer Islands for Sustainable,Other / multi-sector,multi_location,F,or Sustainable,F.or Sustainable,359846.37,1,2025-12-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE062-100,Preparing Outer Island For Sustainable Energy Devel - POISED,Energy and climate,multi_location,F,or Sustainable,F.or Sustainable,512080.87,4,2021-10-01,2023-01-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE083-001,Estab. of Reg Waste mngmt System in Addu city & Fuvahmulah,Waste management,multi_location,R; M; F; Gn; S,eg; ngmt; uvahmulah; Fuvahmulah; Addu City,R.eg; M.ngmt; F.uvahmulah; Gn.Fuvahmulah; S.Addu City,2006859.08,8,2019-04-01,2019-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE084-001,Estab. Regional Waste Management System - Huvadhu Atoll,Waste management,multi_location,R; M,egional; anagement,R.egional; M.anagement,8006758.51,18,2019-06-01,2023-07-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-SAN011-001,Sanitation in 5 islands,Water and sewerage,multi_location,S,anitation in,S.anitation in,31551138.07,44,2019-03-01,2023-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-SAN028-001,"Prov.WaterSupply,Sani.&WasteMgmt-OFID-P2",Water and sewerage,multi_location,S,ani,S.ani,124762124.59,60,2019-02-01,2024-04-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS013-001,Water and Sewerage System -Angolhitheemu,Water and sewerage,single_island,S,ewerage,S.ewerage,11602337.66,8,2020-03-01,2023-04-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS031-001,Water and Sewerage System - Kunburudhoo,Water and sewerage,multi_location,S; K,ewerage; unburudhoo,S.ewerage; K.unburudhoo,16609792.47,27,2019-12-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS045-001,Water and Sewerage System -Kanduhulhudoo,Water and sewerage,multi_location,S; K,ewerage; anduhulhudoo,S.ewerage; K.anduhulhudoo,34984689.48,21,2019-06-01,2023-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS050-001,Water and Sewerage Network -Hirimaradhoo,Water and sewerage,single_island,S,ewerage Network,S.ewerage Network,41934945.48,24,2019-12-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS061-001,Fuvamulak Water & Sewerage system,Water and sewerage,multi_location,F; S,uvamulak; ewerage,F.uvamulak; S.ewerage,15060415.96,5,2019-08-01,2019-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS062-001,Addu City Water & Sewerage System,Water and sewerage,multi_location,S; S,ewerage; Addu City,S.ewerage; S.Addu City,5270252.53,4,2019-03-01,2019-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS067-001,Outer Island Water Supply & Sewerage System,Water and sewerage,multi_location,S; S,upply; ewerage,S.upply; S.ewerage,982862.08,2,2020-12-01,2021-03-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WAS092-001,"Outer Island Harbour, Water Supply & Sewerage - OFID Phase 3",Water and sewerage,multi_location,HA; S; S,rbour; upply; ewerage,HA.rbour; S.upply; S.ewerage,107736044.4,49,2020-12-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST007-001,Estab. Regional Waste Management Facility - Addu City,Waste management,multi_location,R; M; S,egional; anagement Facility; Addu City,R.egional; M.anagement Facility; S.Addu City,294142715.12,38,2020-02-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST007-002,Estab.Regional Waste Management Facility,Waste management,multi_location,R; M,egional; anagement Facility,R.egional; M.anagement Facility,91024.0,6,2025-03-01,2025-11-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST033-002,Irena Converting Waste to Energy,Waste management,national_or_unmatched,,,,827066.26,11,2025-02-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-OTH007-001,Estab. Air Quality Checking System,Environmental management,single_island,S,ystem,S.ystem,157201.0,2,2022-02-01,2022-03-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-MEE001-105,Accelr. Sustainable Pvt. Invmt. in Renewable Energy - ASPIRE,Energy and climate,multi_location,S; R,ustainable Pvt; enewable Energy,S.ustainable Pvt; R.enewable Energy,945000.0,1,2022-03-01,2022-03-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST032-001,Greater Male Waste to Energy Project,Waste management,multi_location,M; K,ale; Male,M.ale; K.Male,92350041.66,22,2022-03-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
